vehiculo_id,matricula,usuario_id,marca_id,modelo,color
1,R9I7B6H,3,3,Corolla,Blanco
2,E1JFBVC,6,1,Civic,Azul
3,ZOW6E65,4,10,Focus,Plateado
4,MWRG05I,8,6,Cruze,Naranja
5,2S2MPZW,6,4,Sentra,Blanco
6,8N4VKLM,7,9,Golf,Marr贸n
7,HDKAIY7,10,1,Serie 3,Marr贸n
8,4H5303G,10,3,Clase C,Azul
9,SQFSYA2,3,4,Elantra,Blanco
10,NYPV5UK,8,8,Rio,Plateado
11,KBFDEB8,4,8,Camry,Marr贸n
12,270A22O,3,6,Accord,Verde
13,HNWACLL,2,1,Mustang,Blanco
14,27WWSTD,6,6,Malibu,Azul
15,I4YE6X7,8,2,Altima,Negro
16,VLPVAOP,8,6,Passat,Azul
17,MI7FVE9,1,3,Serie 5,Gris
18,ILK0KFN,2,4,Clase E,Negro
19,S2IRFMQ,3,1,Sonata,Marr贸n
20,B1WWK01,6,1,Sportage,Verde
21,6AF36RV,3,10,Yaris,Azul
22,3Y5VEHI,3,7,Fit,Rojo
23,SOHXR9C,4,7,Escape,Gris
24,IF6DQY8,7,8,Trax,Plateado
25,MP21E5B,7,4,Versa,Rojo
